domain,"domain_type","domain_wc","match_depth","sort_order"
"*.airflow.cn-north-1.on.amazonwebservices.com.cn",PRIVATE,"*.airflow.cn-north-1.on.amazonwebservices.com.cn",8,5
"*.airflow.cn-north-1.on.amazonwebservices.com.cn",PRIVATE,"airflow.cn-north-1.on.amazonwebservices.com.cn",8,5
"*.airflow.cn-northwest-1.on.amazonwebservices.com.cn",PRIVATE,"*.airflow.cn-northwest-1.on.amazonwebservices.com.cn",8,5
"*.airflow.cn-northwest-1.on.amazonwebservices.com.cn",PRIVATE,"airflow.cn-northwest-1.on.amazonwebservices.com.cn",8,5
"s3.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"*.s3.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"s3.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3-accesspoint.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"*.s3-accesspoint.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3-accesspoint.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"s3-accesspoint.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3-website.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"*.s3-website.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3-website.dualstack.cn-north-1.amazonaws.com.cn",PRIVATE,"s3-website.dualstack.cn-north-1.amazonaws.com.cn",7,5
"s3.dualstack.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3.dualstack.cn-northwest-1.amazonaws.com.cn",7,5
"s3.dualstack.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3.dualstack.cn-northwest-1.amazonaws.com.cn",7,5
"s3-accesspoint.dualstack.cn-northwest-1.amazonaws.com.cn",PRIVATE,"*.s3-accesspoint.dualstack.cn-northwest-1.amazonaws.com.cn",7,5
"s3-accesspoint.dualstack.cn-northwest-1.amazonaws.com.cn",PRIVATE,"s3-accesspoint.dualstack.cn-northwest-1.amazonaws.com.cn",7,5
